case_id,image,dataset_label,gold,gold_text,model_text,model_choice,model_choice_text,refusal_detected,p_internal_ground_truth,p_probe_yes_parasite,p_probe_no_parasite,knows_by_threshold,output_correct,no_expression,matrix_label
malaria_001,malaria_001.png,PARASITIZED,A,Malaria parasite is present (the cell is parasitized),A,A,Malaria parasite is present (the cell is parasitized),False,0.454,0.454,0.546,False,True,False,UNSUPPORTED_CORRECT
malaria_002,malaria_002.png,PARASITIZED,A,Malaria parasite is present (the cell is parasitized),A,A,Malaria parasite is present (the cell is parasitized),False,0.4206,0.4206,0.5794,False,True,False,UNSUPPORTED_CORRECT
malaria_003,malaria_003.png,PARASITIZED,A,Malaria parasite is present (the cell is parasitized),A,A,Malaria parasite is present (the cell is parasitized),False,0.4261,0.4261,0.5739,False,True,False,UNSUPPORTED_CORRECT
malaria_004,malaria_004.png,PARASITIZED,A,Malaria parasite is present (the cell is parasitized),A,A,Malaria parasite is present (the cell is parasitized),False,0.4481,0.4481,0.5519,False,True,False,UNSUPPORTED_CORRECT
malaria_005,malaria_005.png,PARASITIZED,A,Malaria parasite is present (the cell is parasitized),A,A,Malaria parasite is present (the cell is parasitized),False,0.4373,0.4373,0.5627,False,True,False,UNSUPPORTED_CORRECT
malaria_006,malaria_006.png,PARASITIZED,A,Malaria parasite is present (the cell is parasitized),A,A,Malaria parasite is present (the cell is parasitized),False,0.4543,0.4543,0.5457,False,True,False,UNSUPPORTED_CORRECT
malaria_007,malaria_007.png,PARASITIZED,A,Malaria parasite is present (the cell is parasitized),A,A,Malaria parasite is present (the cell is parasitized),False,0.4489,0.4489,0.5511,False,True,False,UNSUPPORTED_CORRECT
malaria_008,malaria_008.png,PARASITIZED,A,Malaria parasite is present (the cell is parasitized),A,A,Malaria parasite is present (the cell is parasitized),False,0.4207,0.4207,0.5793,False,True,False,UNSUPPORTED_CORRECT
malaria_009,malaria_009.png,PARASITIZED,A,Malaria parasite is present (the cell is parasitized),A,A,Malaria parasite is present (the cell is parasitized),False,0.4489,0.4489,0.5511,False,True,False,UNSUPPORTED_CORRECT
malaria_010,malaria_010.png,PARASITIZED,A,Malaria parasite is present (the cell is parasitized),A,A,Malaria parasite is present (the cell is parasitized),False,0.4226,0.4226,0.5774,False,True,False,UNSUPPORTED_CORRECT
malaria_011,malaria_011.png,PARASITIZED,A,Malaria parasite is present (the cell is parasitized),A,A,Malaria parasite is present (the cell is parasitized),False,0.436,0.436,0.564,False,True,False,UNSUPPORTED_CORRECT
malaria_012,malaria_012.png,PARASITIZED,A,Malaria parasite is present (the cell is parasitized),A,A,Malaria parasite is present (the cell is parasitized),False,0.4303,0.4303,0.5697,False,True,False,UNSUPPORTED_CORRECT
malaria_013,malaria_013.png,PARASITIZED,A,Malaria parasite is present (the cell is parasitized),A,A,Malaria parasite is present (the cell is parasitized),False,0.3654,0.3654,0.6346,False,True,False,UNSUPPORTED_CORRECT
malaria_014,malaria_014.png,PARASITIZED,A,Malaria parasite is present (the cell is parasitized),A,A,Malaria parasite is present (the cell is parasitized),False,0.4507,0.4507,0.5493,False,True,False,UNSUPPORTED_CORRECT
malaria_015,malaria_015.png,PARASITIZED,A,Malaria parasite is present (the cell is parasitized),A,A,Malaria parasite is present (the cell is parasitized),False,0.4436,0.4436,0.5564,False,True,False,UNSUPPORTED_CORRECT
malaria_016,malaria_016.png,PARASITIZED,A,Malaria parasite is present (the cell is parasitized),A,A,Malaria parasite is present (the cell is parasitized),False,0.413,0.413,0.587,False,True,False,UNSUPPORTED_CORRECT
malaria_017,malaria_017.png,PARASITIZED,A,Malaria parasite is present (the cell is parasitized),A,A,Malaria parasite is present (the cell is parasitized),False,0.411,0.411,0.589,False,True,False,UNSUPPORTED_CORRECT
malaria_018,malaria_018.png,PARASITIZED,A,Malaria parasite is present (the cell is parasitized),A,A,Malaria parasite is present (the cell is parasitized),False,0.416,0.416,0.584,False,True,False,UNSUPPORTED_CORRECT
malaria_019,malaria_019.png,PARASITIZED,A,Malaria parasite is present (the cell is parasitized),A,A,Malaria parasite is present (the cell is parasitized),False,0.4362,0.4362,0.5638,False,True,False,UNSUPPORTED_CORRECT
malaria_020,malaria_020.png,PARASITIZED,A,Malaria parasite is present (the cell is parasitized),A,A,Malaria parasite is present (the cell is parasitized),False,0.4924,0.4924,0.5076,False,True,False,UNSUPPORTED_CORRECT
malaria_021,malaria_021.png,PARASITIZED,A,Malaria parasite is present (the cell is parasitized),A,A,Malaria parasite is present (the cell is parasitized),False,0.4345,0.4345,0.5655,False,True,False,UNSUPPORTED_CORRECT
