case_id,image,dataset_label,question,gold,choice_A,choice_B,choice_C,choice_D,ground_truth
malaria_001,malaria_001.png,PARASITIZED,"Look at this blood smear cell microscopy image.
Which label best describes the cell?

A. Malaria parasite is present (the cell is parasitized)
B. No malaria parasite is present (the cell is uninfected)
C. This is not a blood smear cell microscopy image
D. I cannot determine the infection status of the cell",A,Malaria parasite is present (the cell is parasitized),No malaria parasite is present (the cell is uninfected),This is not a blood smear cell microscopy image,I cannot determine the infection status of the cell,The cell is parasitized — a malaria parasite is present.
malaria_002,malaria_002.png,PARASITIZED,"Look at this blood smear cell microscopy image.
Which label best describes the cell?

A. Malaria parasite is present (the cell is parasitized)
B. No malaria parasite is present (the cell is uninfected)
C. This is not a blood smear cell microscopy image
D. I cannot determine the infection status of the cell",A,Malaria parasite is present (the cell is parasitized),No malaria parasite is present (the cell is uninfected),This is not a blood smear cell microscopy image,I cannot determine the infection status of the cell,The cell is parasitized — a malaria parasite is present.
malaria_003,malaria_003.png,PARASITIZED,"Look at this blood smear cell microscopy image.
Which label best describes the cell?

A. Malaria parasite is present (the cell is parasitized)
B. No malaria parasite is present (the cell is uninfected)
C. This is not a blood smear cell microscopy image
D. I cannot determine the infection status of the cell",A,Malaria parasite is present (the cell is parasitized),No malaria parasite is present (the cell is uninfected),This is not a blood smear cell microscopy image,I cannot determine the infection status of the cell,The cell is parasitized — a malaria parasite is present.
malaria_004,malaria_004.png,PARASITIZED,"Look at this blood smear cell microscopy image.
Which label best describes the cell?

A. Malaria parasite is present (the cell is parasitized)
B. No malaria parasite is present (the cell is uninfected)
C. This is not a blood smear cell microscopy image
D. I cannot determine the infection status of the cell",A,Malaria parasite is present (the cell is parasitized),No malaria parasite is present (the cell is uninfected),This is not a blood smear cell microscopy image,I cannot determine the infection status of the cell,The cell is parasitized — a malaria parasite is present.
malaria_005,malaria_005.png,PARASITIZED,"Look at this blood smear cell microscopy image.
Which label best describes the cell?

A. Malaria parasite is present (the cell is parasitized)
B. No malaria parasite is present (the cell is uninfected)
C. This is not a blood smear cell microscopy image
D. I cannot determine the infection status of the cell",A,Malaria parasite is present (the cell is parasitized),No malaria parasite is present (the cell is uninfected),This is not a blood smear cell microscopy image,I cannot determine the infection status of the cell,The cell is parasitized — a malaria parasite is present.
malaria_006,malaria_006.png,PARASITIZED,"Look at this blood smear cell microscopy image.
Which label best describes the cell?

A. Malaria parasite is present (the cell is parasitized)
B. No malaria parasite is present (the cell is uninfected)
C. This is not a blood smear cell microscopy image
D. I cannot determine the infection status of the cell",A,Malaria parasite is present (the cell is parasitized),No malaria parasite is present (the cell is uninfected),This is not a blood smear cell microscopy image,I cannot determine the infection status of the cell,The cell is parasitized — a malaria parasite is present.
malaria_007,malaria_007.png,PARASITIZED,"Look at this blood smear cell microscopy image.
Which label best describes the cell?

A. Malaria parasite is present (the cell is parasitized)
B. No malaria parasite is present (the cell is uninfected)
C. This is not a blood smear cell microscopy image
D. I cannot determine the infection status of the cell",A,Malaria parasite is present (the cell is parasitized),No malaria parasite is present (the cell is uninfected),This is not a blood smear cell microscopy image,I cannot determine the infection status of the cell,The cell is parasitized — a malaria parasite is present.
malaria_008,malaria_008.png,PARASITIZED,"Look at this blood smear cell microscopy image.
Which label best describes the cell?

A. Malaria parasite is present (the cell is parasitized)
B. No malaria parasite is present (the cell is uninfected)
C. This is not a blood smear cell microscopy image
D. I cannot determine the infection status of the cell",A,Malaria parasite is present (the cell is parasitized),No malaria parasite is present (the cell is uninfected),This is not a blood smear cell microscopy image,I cannot determine the infection status of the cell,The cell is parasitized — a malaria parasite is present.
malaria_009,malaria_009.png,PARASITIZED,"Look at this blood smear cell microscopy image.
Which label best describes the cell?

A. Malaria parasite is present (the cell is parasitized)
B. No malaria parasite is present (the cell is uninfected)
C. This is not a blood smear cell microscopy image
D. I cannot determine the infection status of the cell",A,Malaria parasite is present (the cell is parasitized),No malaria parasite is present (the cell is uninfected),This is not a blood smear cell microscopy image,I cannot determine the infection status of the cell,The cell is parasitized — a malaria parasite is present.
malaria_010,malaria_010.png,PARASITIZED,"Look at this blood smear cell microscopy image.
Which label best describes the cell?

A. Malaria parasite is present (the cell is parasitized)
B. No malaria parasite is present (the cell is uninfected)
C. This is not a blood smear cell microscopy image
D. I cannot determine the infection status of the cell",A,Malaria parasite is present (the cell is parasitized),No malaria parasite is present (the cell is uninfected),This is not a blood smear cell microscopy image,I cannot determine the infection status of the cell,The cell is parasitized — a malaria parasite is present.
malaria_011,malaria_011.png,PARASITIZED,"Look at this blood smear cell microscopy image.
Which label best describes the cell?

A. Malaria parasite is present (the cell is parasitized)
B. No malaria parasite is present (the cell is uninfected)
C. This is not a blood smear cell microscopy image
D. I cannot determine the infection status of the cell",A,Malaria parasite is present (the cell is parasitized),No malaria parasite is present (the cell is uninfected),This is not a blood smear cell microscopy image,I cannot determine the infection status of the cell,The cell is parasitized — a malaria parasite is present.
malaria_012,malaria_012.png,PARASITIZED,"Look at this blood smear cell microscopy image.
Which label best describes the cell?

A. Malaria parasite is present (the cell is parasitized)
B. No malaria parasite is present (the cell is uninfected)
C. This is not a blood smear cell microscopy image
D. I cannot determine the infection status of the cell",A,Malaria parasite is present (the cell is parasitized),No malaria parasite is present (the cell is uninfected),This is not a blood smear cell microscopy image,I cannot determine the infection status of the cell,The cell is parasitized — a malaria parasite is present.
malaria_013,malaria_013.png,PARASITIZED,"Look at this blood smear cell microscopy image.
Which label best describes the cell?

A. Malaria parasite is present (the cell is parasitized)
B. No malaria parasite is present (the cell is uninfected)
C. This is not a blood smear cell microscopy image
D. I cannot determine the infection status of the cell",A,Malaria parasite is present (the cell is parasitized),No malaria parasite is present (the cell is uninfected),This is not a blood smear cell microscopy image,I cannot determine the infection status of the cell,The cell is parasitized — a malaria parasite is present.
malaria_014,malaria_014.png,PARASITIZED,"Look at this blood smear cell microscopy image.
Which label best describes the cell?

A. Malaria parasite is present (the cell is parasitized)
B. No malaria parasite is present (the cell is uninfected)
C. This is not a blood smear cell microscopy image
D. I cannot determine the infection status of the cell",A,Malaria parasite is present (the cell is parasitized),No malaria parasite is present (the cell is uninfected),This is not a blood smear cell microscopy image,I cannot determine the infection status of the cell,The cell is parasitized — a malaria parasite is present.
malaria_015,malaria_015.png,PARASITIZED,"Look at this blood smear cell microscopy image.
Which label best describes the cell?

A. Malaria parasite is present (the cell is parasitized)
B. No malaria parasite is present (the cell is uninfected)
C. This is not a blood smear cell microscopy image
D. I cannot determine the infection status of the cell",A,Malaria parasite is present (the cell is parasitized),No malaria parasite is present (the cell is uninfected),This is not a blood smear cell microscopy image,I cannot determine the infection status of the cell,The cell is parasitized — a malaria parasite is present.
malaria_016,malaria_016.png,PARASITIZED,"Look at this blood smear cell microscopy image.
Which label best describes the cell?

A. Malaria parasite is present (the cell is parasitized)
B. No malaria parasite is present (the cell is uninfected)
C. This is not a blood smear cell microscopy image
D. I cannot determine the infection status of the cell",A,Malaria parasite is present (the cell is parasitized),No malaria parasite is present (the cell is uninfected),This is not a blood smear cell microscopy image,I cannot determine the infection status of the cell,The cell is parasitized — a malaria parasite is present.
malaria_017,malaria_017.png,PARASITIZED,"Look at this blood smear cell microscopy image.
Which label best describes the cell?

A. Malaria parasite is present (the cell is parasitized)
B. No malaria parasite is present (the cell is uninfected)
C. This is not a blood smear cell microscopy image
D. I cannot determine the infection status of the cell",A,Malaria parasite is present (the cell is parasitized),No malaria parasite is present (the cell is uninfected),This is not a blood smear cell microscopy image,I cannot determine the infection status of the cell,The cell is parasitized — a malaria parasite is present.
malaria_018,malaria_018.png,PARASITIZED,"Look at this blood smear cell microscopy image.
Which label best describes the cell?

A. Malaria parasite is present (the cell is parasitized)
B. No malaria parasite is present (the cell is uninfected)
C. This is not a blood smear cell microscopy image
D. I cannot determine the infection status of the cell",A,Malaria parasite is present (the cell is parasitized),No malaria parasite is present (the cell is uninfected),This is not a blood smear cell microscopy image,I cannot determine the infection status of the cell,The cell is parasitized — a malaria parasite is present.
